,title,price,in_stock,image_url,href
58,Thermalright TY-127 120mm PWM 120mm Cooling,25,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249283/image_256?ts=1676603295,https://www.pcbyte.com.my/p/thermalright-ty-127-120mm-pwm-120mm-cooling-249283
59,Thermalright TL-C12W-S 120mm ARGB Cooling Fan Tri Pack - White,169,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273089/image_256?ts=1678672447,https://www.pcbyte.com.my/p/thermalright-tl-c12w-s-120mm-argb-cooling-fan-tri-pack-white-273089
60,Patriot Viper Steel RGB 16GB (8GBx2) 3200Mhz Desktop Memory RAM,299,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/297300/image_256?ts=1691371102,https://www.pcbyte.com.my/p/patriot-viper-steel-rgb-16gb-8gbx2-3200mhz-desktop-memory-ram-297300
61,Thermal Grizzly Hydronaut - 1G,21.50,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/275610/image_256?ts=1684393789,https://www.pcbyte.com.my/p/thermal-grizzly-hydronaut-1g-275610
62,Thermal Grizzly Minus Pad 8 - 30x 30x 0.5mm - 1 Pcs TG-MP8-30-30-05-1R,30.70,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/275609/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermal-grizzly-minus-pad-8-30x-30x-0-5mm-1-pcs-tg-mp8-30-30-05-1r-275609
63,Corsair Vengeance LPX DDR4 3200MHz 16GB (2x8) Desktop Memory CMK16GX4M2E3200C16,309,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/14204/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-vengeance-lpx-ddr4-3200mhz-16gb-2x8-desktop-memory-cmk16gx4m2e3200c16-14204
64,Thermalright Frost Commander 140 CPU Cooler - White,279,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273051/image_256?ts=1688103260,https://www.pcbyte.com.my/p/thermalright-frost-commander-140-cpu-cooler-white-273051
65,Thermalright TL-R12-W 120mm Cooling Fan - White TL-R12-W (Single),29,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273083/image_256?ts=1676604630,https://www.pcbyte.com.my/p/thermalright-tl-r12-w-120mm-cooling-fan-white-tl-r12-w-single-273083
66,V-Color Prism Pro RGB Kit 32GB 3600MHz (2x16) DDR4 Desktop Memory Ram - White,969,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/269395/image_256?ts=1676611301,https://www.pcbyte.com.my/p/v-color-prism-pro-rgb-kit-32gb-3600mhz-2x16-ddr4-desktop-memory-ram-white-269395
67,Thermalright Frost Commander 140 CPU Cooler - Black,279,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/319225/image_256?ts=1687217360,https://www.pcbyte.com.my/p/thermalright-frost-commander-140-cpu-cooler-black-319225
